chat_id,title,username,reason,blacklisted_at
-1001462736986,💻 DevSecure 💰 [-1001462736986],,"AUTO_BLACKLIST: ChatWriteForbidden (Telegram says: [403 CHAT_WRITE_FORBIDDEN] - You don't have rights to send messages in this chat (caused by ""messages.SendMedia""))",2026-08-05 11:00:51
-1003265217895,MOLLPAY [-1003265217895],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:01:55
-1002310818210,HACKING EXPART [-1002310818210],,"AUTO_BLACKLIST: ChannelPrivate (Telegram says: [406 CHANNEL_PRIVATE] - The channel/supergroup is not accessible (caused by ""messages.SendMedia""))",2026-08-05 11:03:29
-1002621486127,ZipPay [-1002621486127],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:03:39
-1002184871274,Ginibash [-1002184871274],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:05:10
-1001399369214,Devcommunity [-1001399369214],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:05:38
-1002228314038,WATCHPAY 出海项目支付交流群 [-1002228314038],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:05:55
-1001905411606,Free Source Code [-1001905411606],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:06:13
-1002834445201,小奶龙业务群 [-1002834445201],,"AUTO_BLACKLIST: Forbidden (Telegram says: [403 Forbidden] - [403 CHAT_SEND_PHOTOS_FORBIDDEN] (caused by ""messages.SendMedia""))",2026-08-05 11:16:39
-1001317208021,huidu.in |Gaming 🇮🇳【GGC2027】 [-1001317208021],,"AUTO_BLACKLIST: Forbidden (Telegram says: [403 Forbidden] - [403 CHAT_SEND_PHOTOS_FORBIDDEN] (caused by ""messages.SendMedia""))",2026-08-05 11:17:57
-1003920574918,Saving Buyer 🧿 [-1003920574918],,"AUTO_BLACKLIST: Forbidden (Telegram says: [403 Forbidden] - [403 CHAT_SEND_PHOTOS_FORBIDDEN] (caused by ""messages.SendMedia""))",2026-08-05 11:18:06
-1001798403908,Huidu.io Global iGaming🎰【GGC2027】 [-1001798403908],,"AUTO_BLACKLIST: Forbidden (Telegram says: [403 Forbidden] - [403 CHAT_SEND_PHOTOS_FORBIDDEN] (caused by ""messages.SendMedia""))",2026-08-05 11:19:17
-1001402928900,SMM GROUP WORLD WIDE 🌍 [-1001402928900],,"AUTO_BLACKLIST: Forbidden (Telegram says: [403 Forbidden] - [403 CHAT_SEND_PHOTOS_FORBIDDEN] (caused by ""messages.SendMedia""))",2026-08-05 11:22:48
