chat_id,title,username,type,members_count,can_send_messages
-1003132086140,Heisenberg & sXm Manish ki yaadein,heisenberg_sxmmanish,SUPERGROUP,21,True
-4631745156,LPay 767 印度二类 7.5/3+6,,GROUP,24,True
-4771208997,MX M777037 印度二类ZJP 7+3+6,,GROUP,0,True
-1004469355577,MX M777037 印度二类ZJP 7+3+6,,SUPERGROUP,8,True
-1002184871274,Ginibash,Ginibash,SUPERGROUP,22,True
-1002262691914,Lpay 511,,SUPERGROUP,17,True
-5211443676,India-watchpay 100888 169,,GROUP,0,True
-1002655711331,MxPay Official,mxpayoneofficial,SUPERGROUP,8,True
-1001399369214,Devcommunity,thedevcommunity,SUPERGROUP,172,True
-4147369760,100618208-allpay,,GROUP,7,True
-1003997580014,Edge,,SUPERGROUP,4,True
-1001798169636,🥇🔥Build Your Own Application🥇🔥,winwinvipuser,SUPERGROUP,34,True
-1002228314038,WATCHPAY 出海项目支付交流群,watchpaygroup,SUPERGROUP,293,True
-5161562458,SMS,,GROUP,3,True
-4666757677,kbpay India II 6106111,,GROUP,4,True
-5103485973,India-watchpay 100888 147,,GROUP,0,True
-5295612000,India-watchpay 100888 146,,GROUP,11,True
-5044682983,8801 印度二类0.0,,GROUP,20,True
-4762983685,Anshu印度二类 100333101 对接群,,GROUP,11,True
-1001905411606,Free Source Code,,SUPERGROUP,30,True
-4608754001,HX+7.5+3/6（hx666）zjp,,GROUP,6,True
-4668914580,MxPay Official,,GROUP,0,True
-1002262894369,1004号kasipay印度一类7+3+6,,SUPERGROUP,7,True
-4624412041,10012号kasipay印度一类7+3+6,,GROUP,0,True
-4731870486,DEVELOPER NFT,,GROUP,2,True
-1002209701974,Crypto Buy/Sell,CryptoExPro,SUPERGROUP,9,True
-4538307271,A3印度线上2类6-3,,GROUP,8,True
-1002391609895,dz66dz66 支付寶 I,,SUPERGROUP,5,True
-1002027436220,"Colour prediction website free source code ( ᶜᵒˡᵒʳ ᵖʳᵉᵈⁱᶜᵗⁱᵒⁿ, ᵈᵃᵐᵃⁿ, ᵖᵒʷᵉʳᵇᵃⁿᵏ, 91ᶜˡᵘᵇ, ᵇⁱᵍ ᵈᵃᵈᵈʸ, ᶠᵃˢᵗʷⁱⁿ, 9ⁱⁿ1, ˡᵘᵈᵒ, ᶜᵃˢⁱⁿᵒ)",rightdeveloper,SUPERGROUP,144,True
